INFO  2024-04-13 15:51:41,526 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:41,548 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:41,571 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:41,594 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:41,616 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:41,638 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:41,660 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:41,683 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:41,705 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:41,728 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:41,761 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:41,784 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:41,806 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:41,829 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:41,851 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:41,884 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:41,907 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:41,929 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:41,941 [AppLog] PLC连接成功
INFO  2024-04-13 15:51:41,951 [AppLog] 连接PLC单轴M20500界面成功
INFO  2024-04-13 15:51:41,952 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:42,050 [AppLog] 读取设备单轴M20500D20500值成功
INFO  2024-04-13 15:51:42,075 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:42,116 [AppLog] 打开单轴M20500手动界面成功
INFO  2024-04-13 15:51:42,153 [AppLog] 读取设备单轴M20500D20500值成功
INFO  2024-04-13 15:51:42,175 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:42,243 [AppLog] 读取设备单轴M20500D20500值成功
INFO  2024-04-13 15:51:42,265 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:42,344 [AppLog] 读取设备单轴M20500D20500值成功
INFO  2024-04-13 15:51:42,366 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:42,433 [AppLog] 读取设备单轴M20500D20500值成功
INFO  2024-04-13 15:51:42,456 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:42,523 [AppLog] 读取设备单轴M20500D20500值成功
INFO  2024-04-13 15:51:42,546 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:42,569 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:42,636 [AppLog] 读取设备单轴M20500D20500值成功
INFO  2024-04-13 15:51:42,658 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:42,691 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:42,758 [AppLog] 读取设备单轴M20500D20500值成功
INFO  2024-04-13 15:51:42,781 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:42,870 [AppLog] 读取设备单轴M20500D20500值成功
INFO  2024-04-13 15:51:42,891 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:42,915 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:42,981 [AppLog] 读取设备单轴M20500D20500值成功
INFO  2024-04-13 15:51:43,004 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:43,071 [AppLog] 读取设备单轴M20500D20500值成功
INFO  2024-04-13 15:51:43,095 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:43,172 [AppLog] 读取设备单轴M20500D20500值成功
INFO  2024-04-13 15:51:43,194 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:43,261 [AppLog] 读取设备单轴M20500D20500值成功
INFO  2024-04-13 15:51:43,284 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:43,351 [AppLog] 读取设备单轴M20500D20500值成功
INFO  2024-04-13 15:51:43,374 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:43,452 [AppLog] 读取设备单轴M20500D20500值成功
INFO  2024-04-13 15:51:43,474 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:43,497 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:43,585 [AppLog] 读取设备单轴M20500D20500值成功
INFO  2024-04-13 15:51:43,608 [AppLog] 读取设备手自动状态成功
INFO  2024-04-13 15:51:43,686 [AppLog] 读取设备单轴M20500D20500值成功
